text	size
facebook,said	4493
data,facebook	3637
facebook,zuckerberg	3062
company,facebook	2417
facebook,privacy	1997
facebook,users	1988
said,zuckerberg	1887
facebook,people	1791
data,said	1731
company,said	1498
data,privacy	1310
data,users	1130
company,data	1071
people,said	1061
company,zuckerberg	1033
said,users	977
privacy,said	959
people,zuckerberg	867
data,zuckerberg	864
users,zuckerberg	768
data,people	716
company,privacy	630
privacy,users	629
company,users	599
privacy,zuckerberg	477
company,people	476
people,users	425
people,privacy	357
