text	size
trump	2013
n	796
b	502
president	275
cohen	170
amp	151
donald	149
trumps	137
mueller	130
would	128
people	123
like	121
one	120
think	119
daniels	110
stormy	108
michael	106
mexico	103
tariffs	103
china	102
trade	99
border	97
get	96
says	93
us	91
new	89
national	88
many	82
say	78
guard	76
100	75
war	75
russia	74
story	73
know	72
white	71
go	70
another	67
far	67
time	67
news	66
wants	66
via	64
today	63
vote	62
billion	60
breaking	59
told	59
000	58
gop	58
obama	58
putin	58
campaign	56
h	56
org	55
right	55
work	55
2016	54
pruitt	54
show	54
things	54
want	54
house	53
ntrump	53
legal	51
team	51
u	49
1	48
bus	48
job	48
man	48
probe	48
read	48
back	47
caravan	47
even	47
sinclair	47
tax	47
really	46
state	46
true	46
administration	45
american	45
could	45
said	45
maga	44
company	43
dont	43
manafort	43
thing	43
troops	43
america	42
democrats	42
first	42
immigration	42
still	42
former	41
real	41
werent	41
employee	40
harris	40
help	40
money	40
never	40
quitting	40
sued	40
business	39
funded	39
kamala	39
p	39
paid	39
paul	39
press	39
sure	39
2	38
americans	38
ever	38
fox	38
made	38
questions	38
amazon	37
hes	37
illegal	37
kevin	37
recently	37
attorney	36
care	36
day	36
fact	36
didnt	35
look	35
make	35
n1	35
pay	35
search	35
throwing	35
130	34
additional	34
awful	34
gave	34
killing	34
middle	34
tv	34
two	34
cause	33
contract	33
media	33
much	33
pays	33
states	33
stop	33
video	33
leaders	32
n2	32
need	32
russian	32
whether	32
bad	31
chief	31
chinese	31
going	31
good	31
nthen	31
office	31
post	31
senator	31
washington	31
watch	31
california	30
leaked	30
mccarthy	30
must	30
trying	30
working	30
believe	29
court	29
epa	29
ex	29
see	29
sen	29
since	29
well	29
base	28
country	28
end	28
give	28
month	28
retweet	28
send	28
use	28
voted	28
considering	27
hillary	27
low	27
mr	27
nhe	27
prosecutors	27
threatens	27
warrant	27
cuts	26
election	26
executed	26
filings	26
great	26
https	26
last	26
lost	26
robert	26
scott	26
support	26
w	26
year	26
big	25
course	25
hate	25
investigation	25
long	25
mexican	25
raising	25
shit	25
shows	25
stock	25
knew	24
millions	24
nthe	24
protections	24
psychiatric	24
rep	24
role	24
15	23
300	23
agreement	23
corrupt	23
days	23
done	23
everything	23
government	23
law	23
let	23
lie	23
nrt	23
please	23
proposal	23
proposes	23
tweet	23
united	23
wall	23
alarmed	22
anyone	22
class	22
comes	22
conspiracy	22
fo	22
internet	22
night	22
raises	22
response	22
suing	22
twitter	22
using	22
win	22
agreed	21
approval	21
doesnt	21
ellen	21
entire	21
every	21
general	21
instructed	21
motorcade	21
roll	21
seen	21
stupid	21
years	21
decide	20
extending	20
finger	20
game	20
governor	20
hair	20
http	20
ivanka	20
jared	20
lawyer	20
making	20
n3	20
oligarchs	20
pence	20
performance	20
photographed	20
reimbursed	20
run	20
security	20
shes	20
social	20
spread	20
talking	20
west	20
anything	19
basically	19
briskman	19
call	19
fake	19
family	19
fraud	19
got	19
im	19
juli	19
knowledge	19
linked	19
may	19
member	19
military	19
nothing	19
often	19
oh	19
payi	19
protect	19
put	19
racist	19
sessions	19
sinc	19
staff	19
supporters	19
syria	19
votes	19
wedding	19
begun	18
boys	18
denied	18
disgusted	18
esp	18
flew	18
flight	18
guy	18
liberals	18
life	18
majority	18
payment	18
person	18
plane	18
questioning	18
r	18
sell	18
tariff	18
taxes	18
theory	18
threatening	18
way	18
130k	17
50	17
animal	17
appalled	17
approximately	17
bogus	17
claim	17
confidentiality	17
covering	17
dems	17
determine	17
escalates	17
essen	17
everyone	17
f	17
frat	17
holy	17
immigrant	17
kremlin	17
march	17
nazism	17
preppies	17
presidency	17
report	17
repulsed	17
serve	17
strong	17
tell	17
tells	17
term	17
thats	17
threat	17
unaccompanied	17
wy	17
75	16
actually	16
always	16
anti	16
badly	16
better	16
bill	16
bring	16
ca	16
continues	16
deal	16
finally	16
fucked	16
gowdy	16
hell	16
joke	16
looks	16
lot	16
million	16
months	16
muellers	16
next	16
ni	16
ntoday	16
quiet	16
rapists	16
republican	16
saying	16
soon	16
three	16
tru	16
3	15
5	15
anecdote	15
congress	15
death	15
expect	15
expectations	15
hold	15
ideas	15
instead	15
key	15
literally	15
love	15
nonsensical	15
nthis	15
point	15
quite	15
refugee	15
strzok	15
th	15
times	15
voter	15
voters	15
world	15
admin	14
approve	14
attack	14
case	14
cia	14
claimed	14
clinton	14
com	14
dispute	14
evil	14
fbi	14
fit	14
gallego	14
getting	14
high	14
htt	14
illegally	14
impeachment	14
involved	14
isnt	14
jokes	14
latest	14
laws	14
lying	14
massive	14
name	14
order	14
oregon	14
proof	14
ridiculous	14
saw	14
spreadsheet	14
supposedly	14
take	14
thank	14
thinks	14
usa	14
used	14
2020	13
also	13
apart	13
attacked	13
broken	13
c	13
cabinet	13
calls	13
candidate	13
conservative	13
criminal	13
deconstructs	13
disapprove	13
ethical	13
full	13
masterfully	13
mexicans	13
minors	13
nafta	13
needs	13
nfor	13
nwhat	13
pa	13
pollution	13
pruitts	13
question	13
republicans	13
resettlement	13
senate	13
sending	13
thanks	13
violence	13
week	13
without	13
wonder	13
yen	13
according	12
account	12
ags	12
appointee	12
attorne	12
calling	12
camera	12
clintons	12
concerning	12
controls	12
democratic	12
diagnosis	12
dr	12
enforcing	12
feigned	12
fight	12
fired	12
forward	12
god	12
hey	12
highly	12
john	12
joking	12
knows	12
lack	12
later	12
list	12
lobbyists	12
medical	12
misbehavior	12
obamas	12
part	12
percent	12
place	12
political	12
probably	12
pushed	12
refuse	12
remember	12
rental	12
rules	12
sasse	12
scratches	12
sec	12
sue	12
supporter	12
surface	12
sweetheart	12
target	12
targeted	12
testing	12
tonight	12
tower	12
truthfulness	12
v	12
voided	12
windy	12
woman	12
women	12
wont	12
attend	11
became	11
broke	11
building	11
claims	11
consider	11
data	11
deploy	11
drop	11
elected	11
enough	11
evidence	11
foreign	11
furious	11
happens	11
hard	11
head	11
home	11
immediately	11
indictment	11
invited	11
issue	11
jr	11
keep	11
kind	11
liberal	11
line	11
live	11
lobbyist	11
makes	11
matter	11
mean	11
non	11
npresident	11
outside	11
papadopoulos	11
perhaps	11
phony	11
policy	11
poll	11
probable	11
rally	11
remarks	11
repeal	11
respectful	11
royal	11
silence	11
southern	11
special	11
standard	11
swamp	11
texas	11
thought	11
trend	11
truth	11
wanted	11
2n	10
agrees	10
already	10
ben	10
breitbart	10
come	10
concerned	10
created	10
crime	10
cruz	10
damning	10
deeply	10
deliberate	10
democrat	10
enemies	10
floated	10
fuck	10
futures	10
gladly	10
hit	10
hope	10
inch	10
investigate	10
jeff	10
levels	10
lies	10
meeting	10
nit	10
officials	10
organization	10
partner	10
plan	10
points	10
prices	10
problem	10
rate	10
reason	10
release	10
reports	10
rescind	10
retake	10
ruben	10
secret	10
someone	10
something	10
starting	10
steve	10
ted	10
thread	10
understand	10
virginia	10
went	10
worst	10
yet	10
4	9
abo	9
amazons	9
ass	9
attempt	9
authorized	9
away	9
best	9
boring	9
build	9
called	9
cant	9
chi	9
children	9
clearly	9
cohens	9
commentary	9
connects	9
cr	9
dangerous	9
deals	9
defiant	9
democracy	9
dep	9
dow	9
drunk	9
east	9
economy	9
ethics	9
food	9
forced	9
gets	9
girl	9
group	9
headlines	9
intimidation	9
isis	9
j	9
kids	9
kushner	9
largely	9
least	9
left	9
less	9
likely	9
manipulations	9
market	9
move	9
murray	9
nobody	9
ntwo	9
peter	9
porn	9
possible	9
pres	9
profiting	9
public	9
rape	9
raped	9
ratings	9
reporting	9
returns	9
rises	9
runs	9
ryan	9
seems	9
serious	9
set	9
shot	9
sounds	9
speech	9
standing	9
star	9
stocks	9
straight	9
subpoenas	9
tarif	9
texts	9
theres	9
top	9
tried	9
try	9
unfair	9
urgent	9
vs	9
wars	9
watching	9
willingness	9
youre	9
100bn	8
17	8
2018	8
afraid	8
analytica	8
arent	8
arizona	8
arrest	8
bannon	8
bar	8
behalf	8
biggest	8
black	8
brennan	8
burke	8
cambridge	8
certain	8
change	8
close	8
cnn	8
collusion	8
comments	8
companies	8
conservatives	8
corruption	8
councilwoman	8
counsel	8
crying	8
cut	8
deep	8
department	8
doj	8
dubai	8
easily	8
easy	8
facts	8
find	8
forget	8
free	8
hannity	8
happened	8
happening	8
idea	8
impeaching	8
inside	8
jobs	8
joked	8
kellye	8
latina	8
laughs	8
leader	8
lmao	8
moron	8
moscow	8
mouth	8
nhes	8
nstatistic	8
nuts	8
partners	8
pelosi	8
playing	8
pls	8
porter	8
potus	8
power	8
predicted	8
probing	8
pursuit	8
qanon	8
queens	8
record	8
reminder	8
replacing	8
resign	8
resources	8
review	8
shock	8
showed	8
simply	8
sta	8
stamps	8
talk	8
threaten	8
thus	8
travel	8
university	8
volatility	8
wrong	8
wv	8
yes	8
10	7
51	7
7	7
aclu	7
adultery	7
ago	7
air	7
area	7
asked	7
asks	7
borders	7
bravest	7
built	7
cats	7
chairmanship	7
christmas	7
comment	7
cover	7
daily	7
de	7
demand	7
denial	7
destroying	7
different	7
dis	7
disconnect	7
disgusting	7
donated	7
dumbest	7
energy	7
eric	7
eroding	7
exactly	7
false	7
fewer	7
fire	7
focus	7
follow	7
force	7
funny	7
gone	7
goods	7
greatest	7
gun	7
heard	7
heres	7
hires	7
hispanics	7
history	7
honestly	7
honor	7
id	7
imagine	7
immigrants	7
influential	7
instantly	7
jimmy	7
kept	7
known	7
lady	7
lawmaker	7
lives	7
met	7
moms	7
morning	7
msnbc	7
murder	7
nthey	7
nunes	7
obscenities	7
official	7
old	7
ones	7
open	7
outlets	7
paying	7
picker	7
picture	7
places	7
plant	7
plot	7
ppl	7
puerto	7
queries	7
questioned	7
resolved	7
rest	7
retaliatory	7
retiring	7
ridiculed	7
sanders	7
school	7
secre	7
self	7
sit	7
spy	7
statement	7
step	7
stopped	7
strike	7
takes	7
threw	7
tracking	7
train	7
voting	7
waited	7
wasnt	7
waste	7
weaponized	7
widespread	7
wife	7
wing	7
word	7
worked	7
wow	7
100b	6
200	6
2017	6
2nd	6
50th	6
abortion	6
act	6
agree	6
aides	6
along	6
alt	6
amused	6
anniversary	6
apparently	6
arrests	6
asking	6
assassination	6
asshole	6
attacking	6
attacks	6
attempting	6
bank	6
begins	6
break	6
breast	6
brought	6
came	6
cancer	6
ceo	6
chance	6
classifie	6
committee	6
con	6
creating	6
debt	6
demanded	6
despite	6
director	6
divulging	6
drain	6
driving	6
drops	6
drug	6
drugs	6
e	6
earlier	6
else	6
endlessly	6
era	6
facebook	6
fans	6
farm	6
feel	6
female	6
financial	6
founding	6
fridayfeeling	6
fun	6
half	6
hatred	6
helped	6
