text	size
china,chinese	6386
china,united	4594
china,trade	4213
american,china	4176
chinese,said	4009
china,said	3948
american,chinese	3575
china,states	3544
chinese,united	3476
trade,united	3229
chinese,trade	3161
china,chinas	3151
american,united	3133
china,would	3022
states,united	2968
american,trade	2893
chinas,chinese	2724
chinese,states	2661
chinese,would	2518
states,trade	2503
american,states	2389
said,united	2115
chinas,said	1995
united,would	1957
said,would	1822
american,said	1751
trade,would	1719
american,would	1701
chinas,united	1623
said,trade	1621
said,states	1573
american,chinas	1521
states,would	1510
chinas,trade	1430
chinas,would	1241
chinas,states	1216
