text	size
china	962
mr	817
said	709
chinese	681
united	367
states	362
american	332
chinas	331
trade	319
would	284
government	278
beijing	243
xi	237
companies	235
could	226
tariffs	224
trump	220
also	216
one	215
new	194
president	182
like	181
economic	175
many	153
two	152
technology	143
year	143
officials	141
state	136
world	135
last	131
years	127
party	124
foreign	121
even	120
administration	119
national	116
people	115
economy	113
made	109
power	109
b	108
billion	108
communist	106
financial	105
global	100
war	100
countries	99
may	98
political	98
say	98
products	97
according	93
country	92
company	90
market	87
time	86
international	85
policy	82
security	81
trumps	81
much	79
news	79
make	78
take	77
including	76
long	76
south	75
still	75
first	74
north	74
aluminum	73
korea	73
group	72
investment	72
leaders	71
percent	71
deal	69
leader	69
steel	68
control	66
imports	65
kim	65
business	64
central	64
major	64
countrys	63
become	62
markets	62
week	62
back	61
called	61
free	61
media	61
well	61
recent	60
washington	60
goods	58
term	58
around	57
another	56
plan	56
u	56
house	55
part	55
public	55
vatican	55
top	54
worlds	54
xis	54
industries	53
rights	53
university	53
anbang	51
former	51
investors	51
move	51
white	51
high	50
used	50
wang	50
asia	49
whether	49
bank	48
director	48
official	48
pressure	48
system	48
wednesday	48
jinping	47
million	47
role	47
support	47
money	46
ms	46
since	46
get	45
growth	45
liu	45
measures	45
post	45
way	45
industry	44
japan	44
rules	44
underground	44
bishop	43
church	43
debt	43
help	43
past	43
work	43
ago	42
already	42
hong	42
little	42
ministry	42
month	42
run	42
set	42
added	41
c	41
data	41
experts	41
going	41
military	41
peoples	41
announced	40
cars	40
deals	40
e	40
human	40
important	40
kong	40
leadership	40
secretary	40
toward	40
big	39
industrial	39
might	39
open	39
relations	39
rule	39
though	39
commerce	38
guo	38
insurance	38
largest	38
use	38
wrote	38
come	37
concerns	37
day	37
european	37
investments	37
old	37
partys	37
report	37
research	37
second	37
efforts	36
end	36
growing	36
history	36
nuclear	36
saying	36
statement	36
talks	36
want	36
without	36
among	35
authorities	35
came	35
capital	35
center	35
chief	35
city	35
decision	35
development	35
far	35
groups	35
know	35
tech	35
times	35
based	34
buy	34
congress	34
go	34
less	34
others	34
taiwan	34
yet	34
change	33
days	33
decades	33
especially	33
likely	33
practices	33
professor	33
property	33
asked	32
europe	32
increasingly	32
influence	32
intellectual	32
known	32
put	32
start	32
western	32
wine	32
young	32
2	31
biggest	31
campaign	31
century	31
council	31
difficult	31
executive	31
five	31
led	31
monday	31
office	31
place	31
think	31
three	31
vice	31
whose	31
worth	31
access	30
case	30
example	30
expected	30
intelligence	30
members	30
often	30
says	30
see	30
senior	30
small	30
step	30
taken	30
trading	30
1	29
artificial	29
exports	29
factories	29
home	29
life	29
online	29
organization	29
program	29
religious	29
strategic	29
told	29
visit	29
areas	28
future	28
governments	28
impose	28
limits	28
never	28
relationship	28
self	28
shanghai	28
took	28
wants	28
women	28
100	27
administrations	27
chairman	27
changes	27
clear	27
controlled	27
department	27
dont	27
g	27
give	27
institute	27
issue	27
later	27
meeting	27
next	27
number	27
plans	27
policies	27
question	27
regulatory	27
social	27
strong	27
ties	27
wu	27
10	26
action	26
adviser	26
approach	26
cannot	26
create	26
friday	26
given	26
good	26
least	26
local	26
making	26
politics	26
proposed	26
recently	26
risk	26
thursday	26
treasury	26
trying	26
3	25
began	25
bishops	25
build	25
canada	25
catholic	25
commission	25
democracy	25
despite	25
economies	25
edge	25
era	25
firm	25
found	25
leading	25
nearly	25
retaliation	25
stock	25
voice	25
zhang	25
across	24
advanced	24
almost	24
australia	24
away	24
businesses	24
consumers	24
earlier	24
effort	24
firms	24
held	24
helped	24
internet	24
latest	24
months	24
nations	24
qualcomm	24
region	24
seems	24
000	23
2016	23
50	23
agency	23
catholics	23
churches	23
close	23
corporate	23
east	23
face	23
front	23
include	23
information	23
infrastructure	23
interests	23
kind	23
korean	23
largely	23
level	23
man	23
owned	23
problem	23
province	23
several	23
society	23
sunday	23
