text	size
mr	984
said	483
trump	412
president	258
b	226
would	184
house	161
one	150
tax	143
new	137
like	129
white	129
trumps	111
department	110
law	108
year	108
f	107
last	104
people	101
justice	100
federal	99
states	98
general	96
state	95
investigation	91
could	90
sessions	90
also	88
may	82
former	81
time	81
percent	79
american	78
administration	76
officials	71
two	71
campaign	70
comey	69
even	69
week	69
united	68
court	67
presidents	66
mueller	65
many	64
public	64
called	63
political	63
times	63
years	62
first	60
government	60
attorney	59
committee	58
republican	58
counsel	57
market	57
office	55
whether	55
executive	54
much	54
professor	54
republicans	54
chief	53
director	53
business	52
russia	51
russian	51
case	50
get	49
good	49
told	49
made	48
news	47
special	47
top	47
work	47
york	47
2016	45
information	45
including	44
day	43
immigration	43
month	43
right	43
washington	43
anti	42
california	42
long	42
according	41
bill	41
companies	41
congress	41
election	41
part	41
senate	41
democrats	40
still	40
trade	40
lawyers	39
national	39
since	39
agency	38
antitrust	38
asked	38
company	38
going	38
judge	38
lawyer	38
see	38
thats	38
tuesday	38
u	38
way	38
goldman	37
high	37
jewish	37
make	37
might	37
never	37
senior	37
three	37
credit	36
legal	36
obama	36
school	36
abortion	35
dont	35
administrations	34
among	34
fox	34
investors	34
say	34
use	34
war	34
without	34
economic	33
well	33
000	32
days	32
enforcement	32
far	32
members	32
memo	32
think	32
wrote	32
decision	31
know	31
later	31
least	31
monday	31
need	31
real	31
statement	31
added	30
adviser	30
back	30
fired	30
go	30
interest	30
j	30
lawsuit	30
million	30
morning	30
next	30
staff	30
support	30
democratic	29
email	29
power	29
private	29
something	29
twitter	29
1	28
another	28
country	28
deal	28
directors	28
heres	28
indianapolis	28
laws	28
left	28
order	28
regional	28
theres	28
took	28
authority	27
become	27
call	27
end	27
every	27
fire	27
given	27
investment	27
labor	27
legislation	27
life	27
little	27
meeting	27
policy	27
questions	27
rate	27
religious	27
trading	27
university	27
book	26
filed	26
found	26
immigrants	26
jeff	26
mccabe	26
ms	26
presidential	26
stocks	26
take	26
already	25
came	25
come	25
common	25
h	25
inquiry	25
look	25
media	25
old	25
organization	25
review	25
rights	25
stock	25
us	25
want	25
10	24
capital	24
clinton	24
earlier	24
early	24
electric	24
goose	24
great	24
income	24
rise	24
soon	24
team	24
world	24
act	23
chairman	23
close	23
defamation	23
deputy	23
estate	23
full	23
intelligence	23
late	23
league	23
michael	23
often	23
passed	23
priebus	23
robert	23
security	23
set	23
several	23
done	22
efforts	22
five	22
friday	22
hard	22
lawmakers	22
months	22
personal	22
seen	22
stand	22
street	22
warner	22
weeks	22
working	22
20	21
corporate	21
doesnt	21
donald	21
energy	21
firm	21
g	21
known	21
leaders	21
led	21
march	21
money	21
politics	21
proposed	21
prosecutors	21
protect	21
representative	21
social	21
used	21
based	20
benefit	20
billion	20
bird	20
briefing	20
departments	20
district	20
especially	20
find	20
group	20
health	20
higher	20
history	20
impact	20
issues	20
job	20
letter	20
martoma	20
official	20
plan	20
policies	20
rosenstein	20
second	20
tariffs	20
today	20
wednesday	20
yet	20
action	19
ban	19
bannon	19
bump	19
businesses	19
