text	size
china	1914
trade	1056
war	643
b	538
n	423
nblame	408
like	396
trump	396
russia	392
understand	362
trumps	360
president	356
things	349
likely	343
propaganda	340
hysteria	339
dishonest	338
fundamentally	338
100	260
us	255
three	247
amp	246
means	238
california	237
almonds	235
walnuts	235
exported	234
grows	234
raisins	234
one	221
tariffs	221
says	204
jung	192
fight	173
criminal	162
corrupt	160
world	131
spares	123
great	114
get	113
make	111
u	111
economic	110
power	109
within	108
nation	107
th	105
final	102
developing	101
organization	101
cost	99
considered	98
idol	98
producer	98
team	98
entertainment	97
300b	96
debuting	96
hua	96
justin	96
trainees	96
yue	96
man	93
ahead	90
cant	90
imbalance	89
ngo	89
ripped	89
chinese	88
hear	88
america	87
american	87
nepotism	83
long	82
act	81
audacious	80
con	80
daughter	80
equally	80
prin	80
take	80
dont	77
new	73
think	72
amid	68
c	67
line	67
years	67
countries	64
interesting	64
many	64
usually	63
clamor	62
mexico	61
sleep	61
made	58
via	58
blame	57
hold	57
amazon	55
practices	55
ben	54
chinas	54
hollywood	54
jobs	54
tried	54
journalists	53
hillary	52
threat	52
chicago	51
demands	51
kaepernick	51
clothing	50
dialogue	49
go	49
gotten	49
people	49
standing	49
factories	48
nowhere	48
thousands	47
destroyed	46
illicit	45
ivankas	45
stops	45
country	44
first	44
milli	44
must	42
would	41
already	40
back	40
lot	40
billion	39
ago	38
put	38
sasse	37
course	36
deardonaldjtrump	36
dow	36
lost	35
1	34
going	34
growth	34
products	34
sen	33
send	33
easy	31
faster	31
obama	31
points	31
hashtag	30
nof	30
post	30
saw	30
states	30
hey	29
hit	29
know	29
usa	29
change	28
could	28
market	28
way	28
4	27
good	27
real	27
tariff	27
time	27
even	26
farmers	26
news	26
truly	26
unfair	26
without	26
2	25
5	25
united	25
used	25
also	24
foolish	24
incompetent	24
military	24
repr	24
steel	24
wants	24
106	23
announcing	23
another	23
policyremember	23
reveled	23
slamming	23
bad	22
big	22
day	22
keep	22
need	22
said	22
accountable	21
almost	21
always	21
behavior	21
harder	21
problem	21
punish	21
r	21
requires	21
since	21
stocks	21
deficit	20
donald	20
economy	20
much	20
south	20
video	20
washington	20
business	19
chi	19
nchina	19
still	19
stop	19
working	19
carrier	18
hes	18
india	18
money	18
right	18
soybean	18
technology	18
2018	17
casselman	17
decades	17
every	17
far	17
jim	17
koch	17
love	17
mitt	17
nyt	17
romney	17
solution	17
spent	17
stock	17
tankersley	17
americans	16
apple	16
best	16
born	16
buy	16
chairman	16
either	16
folks	16
goods	16
intellectual	16
korea	16
ocean	16
production	16
republican	16
rights	16
say	16
space	16
supporting	16
trashing	16
unbelievable	16
want	16
well	16
3	15
550	15
6	15
executive	15
fact	15
fell	15
free	15
freedom	15
half	15
headlines	15
matter	15
negotiations	15
pay	15
sea	15
see	15
term	15
work	15
year	15
agriculture	14
amazons	14
bank	14
better	14
biggest	14
chief	14
defiant	14
enjoyed	14
ever	14
