text	size
b	1445
facebook	1244
n	736
data	238
news	235
amp	199
new	191
video	174
2	151
big	139
million	130
like	129
posted	127
zuckerberg	127
vote	126
9	118
leave	112
firm	111
huge	110
people	107
spent	106
us	105
aggregateiq	102
chief	102
suspends	102
strate	101
vl	101
live	90
ads	82
via	81
see	79
get	78
time	77
im	74
mark	70
political	69
day	67
one	67
4	65
great	65
know	64
selling	64
share	59
1	58
april	58
go	58
seen	58
today	58
good	55
page	53
want	53
years	53
breaking	51
late	50
much	49
privacy	49
tonight	49
going	48
social	48
something	48
2018	47
come	47
help	47
media	47
require	47
love	46
please	46
would	46
first	45
messages	45
still	45
7	44
shit	44
democracy	43
verification	43
show	42
twitter	42
damage	41
friends	41
friday	40
need	40
ntoo	40
users	40
watch	39
bruh	38
cambridge	38
got	38
made	38
next	38
3	37
crying	37
deadass	37
rn	37
thanks	36
analytica	35
could	35
join	35
let	35
think	35
weekend	35
always	34
even	34
little	34
post	34
say	34
work	34
free	33
keep	33
many	33
theyre	33
aiq	32
last	32
may	32
saturday	32
take	32
world	32
check	31
every	31
nplease	31
nyc	31
party	31
profile	31
trump	31
6	30
asked	30
beautiful	30
family	30
google	30
life	30
never	30
night	30
private	30
two	30
week	30
act	29
back	29
campaign	29
information	29
music	29
best	28
coming	28
make	28
right	28
stop	28
tomorrow	28
year	28
8	27
company	27
fb	27
home	27
hospitals	27
info	27
old	27
chance	26
read	26
yet	26
15	25
nthe	25
open	25
pretty	25
really	25
school	25
secretly	25
30	24
de	24
deleting	24
says	24
state	24
another	23
away	23
event	23
fun	23
support	23
way	23
also	22
disturbing	22
enough	22
everyone	22
far	22
found	22
medical	22
sorry	22
sweet	22
thank	22
tickets	22
u	22
5	21
apology	21
distribute	21
find	21
friend	21
group	21
happy	21
look	21
scare	21
sure	21
wanted	21
10	20
deletefacebook	20
dont	20
ever	20
instagram	20
job	20
messenger	20
facebooks	19
imagineyourkorea	19
money	19
official	19
sales	19
someone	19
soon	19
start	19
update	19
account	18
block	18
excited	18
getting	18
give	18
kids	18
link	18
nazi	18
needs	18
nonstop	18
obama	18
pm	18
power	18
rt	18
thing	18
used	18
user	18
working	18
amazing	17
apologizing	17
around	17
boy	17
end	17
full	17
girl	17
house	17
miss	17
npledgefosterrescueadopt	17
omg	17
place	17
ready	17
records	17
said	17
scandal	17
sent	17
spring	17
unsend	17
urged	17
using	17
adopt	16
business	16
days	16
kill	16
la	16
lol	16
lot	16
man	16
nothing	16
nycacc	16
protect	16
puppy	16
relic	16
started	16
story	16
technology	16
tell	16
win	16
across	15
art	15
ask	15
available	15
black	15
buy	15
called	15
city	15
club	15
committee	15
f	15
fake	15
hope	15
left	15
loving	15
memphis	15
must	15
ni	15
number	15
posts	15
retweeted	15
sandberg	15
sunday	15
top	15
w	15
well	15
wide	15
anyone	14
bill	14
bro	14
c	14
call	14
ceo	14
community	14
damn	14
enjoy	14
gaza	14
greater	14
hall	14
hate	14
including	14
law	14
long	14
nfacebook	14
nthis	14
personal	14
protecting	14
put	14
risk	14
set	14
team	14
weaponized	14
young	14
youtube	14
zuck	14
ad	13
along	13
america	13
anonymized	13
article	13
banned	13
book	13
cats	13
chicago	13
comment	13
design	13
done	13
effectively	13
follow	13
gt	13
hard	13
hash	13
hear	13
hey	13
learn	13
listen	13
looking	13
message	13
online	13
part	13
phone	13
play	13
